"country","indicator","year","value","units"
"Lesotho","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","1",NA
"Lesotho","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Lesotho","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","4",NA
"Lesotho","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"Lesotho","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Lesotho","PoE.2 E ective public health response at points of entry","2017","1",NA
"Liberia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","2",NA
"Liberia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"Liberia","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"Liberia","P.7.2 National vaccine access and delivery","2016","4",NA
"Liberia","D.1.1 Laboratory testing for detection of priority diseases","2016","2",NA
"Liberia","D.1.2 Specimen referral and transport system","2016","3",NA
"Liberia","D.1.4 Laboratory quality system","2016","1",NA
"Liberia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","2",NA
"Liberia","D.3.2 Reporting network and protocols in country","2016","2",NA
"Liberia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","3",NA
"Liberia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","2",NA
"Liberia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","4",NA
"Liberia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","4",NA
"Liberia","PoE.1 Routine capacities established at points of entry","2016","2",NA
"Liberia","PoE.2 E ective public health response at points of entry","2016","1",NA
"Madagascar","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"Madagascar","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"Madagascar","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"Madagascar","P.7.2 National vaccine access and delivery","2017","4",NA
"Madagascar","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"Madagascar","D.1.2 Specimen referral and transport system","2017","1",NA
"Madagascar","D.1.4 Laboratory quality system","2017","1",NA
"Madagascar","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"Madagascar","D.3.2 Reporting network and protocols in country","2017","2",NA
"Madagascar","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"Madagascar","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"Madagascar","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"Madagascar","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"Madagascar","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Madagascar","PoE.2 E ective public health response at points of entry","2017","1",NA
"Mali","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"Mali","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"Mali","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"Mali","P.7.2 National vaccine access and delivery","2017","3",NA
"Mali","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"Mali","D.1.2 Specimen referral and transport system","2017","3",NA
"Mali","D.1.4 Laboratory quality system","2017","1",NA
"Mali","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"Mali","D.3.2 Reporting network and protocols in country","2017","1",NA
"Mali","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"Mali","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Mali","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"Mali","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"Mali","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Mali","PoE.2 E ective public health response at points of entry","2017","1",NA
"Mauritania","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","3",NA
"Mauritania","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"Mauritania","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"Mauritania","P.7.2 National vaccine access and delivery","2017","3",NA
"Mauritania","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"Mauritania","D.1.2 Specimen referral and transport system","2017","2",NA
"Mauritania","D.1.4 Laboratory quality system","2017","1",NA
"Mauritania","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"Mauritania","D.3.2 Reporting network and protocols in country","2017","2",NA
"Mauritania","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"Mauritania","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"Mauritania","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"Mauritania","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"Mauritania","PoE.1 Routine capacities established at points of entry","2017","2",NA
"Mauritania","PoE.2 E ective public health response at points of entry","2017","1",NA
"Mauritius","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","3",NA
"Mauritius","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"Mauritius","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"Mauritius","P.7.2 National vaccine access and delivery","2018","3",NA
"Mauritius","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"Mauritius","D.1.2 Specimen referral and transport system","2018","4",NA
"Mauritius","D.1.4 Laboratory quality system","2018","3",NA
"Mauritius","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","3",NA
"Mauritius","D.3.2 Reporting network and protocols in country","2018","2",NA
"Mauritius","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","5",NA
"Mauritius","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","1",NA
"Mauritius","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","4",NA
"Mauritius","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","4",NA
"Mauritius","PoE.1 Routine capacities established at points of entry","2018","5",NA
"Mauritius","PoE.2 E ective public health response at points of entry","2018","3",NA
"Mozambique","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","1",NA
"Mozambique","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"Mozambique","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"Mozambique","P.7.2 National vaccine access and delivery","2016","4",NA
